mot,type
réponse,2
idée,2
rêve,2
souvenir,2
secret,2
message,2
lettre,2
journal,2
roman,2
poème,2
chanson,2
tableau,2
peinture,2
couleur,2
forme,2
nombre,2
calcul,2
science,2
langue,2
mot,2
phrase,2
échoue,3
commence,3
termine,3
continue,3
attend,3
espère,3
oublie,3
comprend,3
explique,3
indique,3
raconte,3
répond,3
demande,3
conseille,3
invite,3
accepte,3
refuse,3
choisit,3
décide,3
essaie,3
réussit,3
change,3
améliore,3
crée,3
fabrique,3
coupe,3
colle,3
plie,3
pousse,3
tire,3
lance,3
attrape,3
frappe,3
casse,3
allume,3
éteint,3
charge,3
décharge,3
finit,3
mélange,3
verse,3
chauffe,3
refroidit,3
arrose,3
cueille,3
creuse,3
récolte,3
nourrit,3
soigne,3
protège,3
sauve,3
attaque,3
gagne,3
perd,3
partage,3
prête,3
rend,3
reçoit,3
envoie,3
poste,3
imprime,3
copie,3
compte,3
mesure,3
pèse,3
compare,3
organise,3
planifie,3
réserve,3
commande,3
paie,3
installe,3
branche,3
débranche,3
programme,3
calcule,3
corrige,3
vérifie,3
mémorise,3
imagine,3
invente,3
découvre,3
explore,3
grimpe,3
traverse,3
contourne,3
quitte,3
entre,3
sort,3
repart,3
revient,3
reste,3
habite,3
vit,3
meurt,3
naît,3
respire,3
sourit,3
embrasse,3
arthur,4
mathis,4
gabriel,4
nathan,4
noah,4
raphaël,4
maxime,4
victor,4
alexandre,4
quentin,4
valentin,4
simon,4
nicolas,4
adrien,4
manon,4
louise,4
zoé,4
juliette,4
charlotte,4
élise,4
anaïs,4
margaux,4
laura,4
sarah,4
clément,4
aline,4
rouen,4
rennes,4
nantes,4
dijon,4
nice,4
strasbourg,4
reims,4
grenoble,4
montpellier,4
angers,4
limoges,4
belgique,4
suisse,4
italie,4
espagne,4
allemagne,4
portugal,4
canada,4
japon,4
brésil,4
maroc,4
algérie,4
tunisie,4
.,5
